pageid	domain	title
986	tr.wikipedia.org	Erzincan (il)
993	tr.wikipedia.org	2001
997	tr.wikipedia.org	Mazgirt
1018	tr.wikipedia.org	Gençlerbirliği SK
1032	tr.wikipedia.org	Cezayir
1047	tr.wikipedia.org	Bilim
1050	tr.wikipedia.org	Tıp
1051	tr.wikipedia.org	Sağlık
1052	tr.wikipedia.org	Arkeoloji
1074	tr.wikipedia.org	C (programlama dili)
1077	tr.wikipedia.org	Ahmet Necdet Sezer
1083	tr.wikipedia.org	Immanuel Wallerstein
1095	tr.wikipedia.org	Mozilla Firefox
1117	tr.wikipedia.org	17 Mart
1130	tr.wikipedia.org	Fenerbahçe SK
1143	tr.wikipedia.org	Gülse Birsel
1150	tr.wikipedia.org	İşletim sistemi
1151	tr.wikipedia.org	Genetik
1160	tr.wikipedia.org	1984
1178	tr.wikipedia.org	Akdeniz foku
1182	tr.wikipedia.org	Hakkâri (il)
1200	tr.wikipedia.org	Terry Gilliam
1204	tr.wikipedia.org	Tam sayı
1207	tr.wikipedia.org	Pisagor
1208	tr.wikipedia.org	Pisagor teoremi
1216	tr.wikipedia.org	Uygur Kağanlığı
1229	tr.wikipedia.org	İlhan Usmanbaş
1231	tr.wikipedia.org	Komut kümesi mimarisi
1234	tr.wikipedia.org	Kurgu (sinema)
1238	tr.wikipedia.org	Ekşi Sözlük
1240	tr.wikipedia.org	Yılmaz Güney
1252	tr.wikipedia.org	Sivas (il)
1261	tr.wikipedia.org	3 Haziran
1266	tr.wikipedia.org	19 Ağustos
1273	tr.wikipedia.org	20 Nisan
1284	tr.wikipedia.org	Charlie Chaplin
1286	tr.wikipedia.org	25 Aralık
1287	tr.wikipedia.org	16 Nisan
1292	tr.wikipedia.org	Karadeniz
1330	tr.wikipedia.org	HTTP
1341	tr.wikipedia.org	İzmir İktisat Kongresi
1354	tr.wikipedia.org	Resim
1398	tr.wikipedia.org	Kristof Kolomb
1410	tr.wikipedia.org	Alevilik
1413	tr.wikipedia.org	Ayasofya
1419	tr.wikipedia.org	7 Mayıs
1431	tr.wikipedia.org	Batlamyus
1433	tr.wikipedia.org	21 Nisan
44	tr.wikipedia.org	InDesign
48	tr.wikipedia.org	Ruhi Su
53	tr.wikipedia.org	Bilgisayar
647	tr.wikipedia.org	Ekonomi
650	tr.wikipedia.org	Pragmatizm
663	tr.wikipedia.org	Jeoloji
684	tr.wikipedia.org	Psikoloji
698	tr.wikipedia.org	Ferrari
790	tr.wikipedia.org	Bill Clinton
796	tr.wikipedia.org	Türkiye'nin illeri
966	tr.wikipedia.org	Türkiye cumhurbaşkanları listesi
999	tr.wikipedia.org	Yıldız Savaşları
1013	tr.wikipedia.org	George Lucas
1024	tr.wikipedia.org	Abdullah Gül
1031	tr.wikipedia.org	Ardahan (il)
1034	tr.wikipedia.org	Eretna Beyliği
1116	tr.wikipedia.org	16 Haziran
1118	tr.wikipedia.org	4 Ağustos
1152	tr.wikipedia.org	Sitoloji
1165	tr.wikipedia.org	Goldbach hipotezi
1170	tr.wikipedia.org	Audi
1224	tr.wikipedia.org	Van Gölü
1253	tr.wikipedia.org	19 Nisan
1256	tr.wikipedia.org	Ford Motor Company
1309	tr.wikipedia.org	Küba
1334	tr.wikipedia.org	Zeugma
1392	tr.wikipedia.org	Kars (il)
1394	tr.wikipedia.org	Ahlat, Bitlis
1405	tr.wikipedia.org	İspanya
1407	tr.wikipedia.org	Van
1420	tr.wikipedia.org	Egon Schiele
1435	tr.wikipedia.org	Lamborghini
1446	tr.wikipedia.org	Muazzez İlmiye Çığ
1474	tr.wikipedia.org	Grup Yorum
1484	tr.wikipedia.org	Sinop (il)
1487	tr.wikipedia.org	Türk Dil Kurumu
1491	tr.wikipedia.org	Yahya Kemal Beyatlı
1495	tr.wikipedia.org	Roman
1508	tr.wikipedia.org	Elektronik ticaret
1516	tr.wikipedia.org	Türk alfabesi
1518	tr.wikipedia.org	Türkçe
1519	tr.wikipedia.org	Kategori teorisi
1523	tr.wikipedia.org	Jean-Jacques Annaud
1529	tr.wikipedia.org	Türk bayrağı
1538	tr.wikipedia.org	Başkent
1539	tr.wikipedia.org	Celâl Bayar
1554	tr.wikipedia.org	Noam Chomsky
1560	tr.wikipedia.org	Bilişsel bilim
1562	tr.wikipedia.org	Mars
1571	tr.wikipedia.org	Işın izleme
1576	tr.wikipedia.org	Reşadiye
1577	tr.wikipedia.org	Tokat (il)
1578	tr.wikipedia.org	Fadıl Akgündüz
1579	tr.wikipedia.org	Swing (müzik)
1612	tr.wikipedia.org	Gitar
1613	tr.wikipedia.org	Bilgisayar bilimi
1619	tr.wikipedia.org	Ekonometri
1647	tr.wikipedia.org	Albert Einstein
1845	tr.wikipedia.org	Commodore 64
1846	tr.wikipedia.org	Nirvana (müzik grubu)
1852	tr.wikipedia.org	29 Mayıs
1857	tr.wikipedia.org	Fransa
1871	tr.wikipedia.org	İtalya
1879	tr.wikipedia.org	Avusturya
1894	tr.wikipedia.org	Portekiz
1904	tr.wikipedia.org	Güneş Sistemi
1908	tr.wikipedia.org	Periyodik tablo
1911	tr.wikipedia.org	Venüs
1920	tr.wikipedia.org	Macaristan
1927	tr.wikipedia.org	Kumuklar
1931	tr.wikipedia.org	Astım
1932	tr.wikipedia.org	HIV
1933	tr.wikipedia.org	Kuş gribi
1942	tr.wikipedia.org	Belçika
1947	tr.wikipedia.org	Zatürre
1953	tr.wikipedia.org	Meme kanseri
1954	tr.wikipedia.org	Akciğer kanseri
1957	tr.wikipedia.org	Zazalar
1958	tr.wikipedia.org	Amerika Birleşik Devletleri
2011	tr.wikipedia.org	14 Haziran
2021	tr.wikipedia.org	15 Haziran
2023	tr.wikipedia.org	17 Haziran
2025	tr.wikipedia.org	8 Nisan
2028	tr.wikipedia.org	Hentbol
2040	tr.wikipedia.org	Surinam
2041	tr.wikipedia.org	29 Ekim
2047	tr.wikipedia.org	11 Aralık
2054	tr.wikipedia.org	Lüksemburg
2055	tr.wikipedia.org	18 Haziran
2056	tr.wikipedia.org	19 Haziran
2057	tr.wikipedia.org	20 Haziran
2061	tr.wikipedia.org	İsviçre
2067	tr.wikipedia.org	Japonya
2071	tr.wikipedia.org	21 Haziran
2073	tr.wikipedia.org	23 Haziran
2074	tr.wikipedia.org	24 Haziran
2077	tr.wikipedia.org	13 Nisan
2084	tr.wikipedia.org	Slovenya
2107	tr.wikipedia.org	Denis Diderot
2109	tr.wikipedia.org	27 Haziran
2110	tr.wikipedia.org	28 Haziran
2111	tr.wikipedia.org	29 Haziran
2112	tr.wikipedia.org	30 Haziran
2132	tr.wikipedia.org	Ağrı Dağı
2137	tr.wikipedia.org	1 Temmuz
2142	tr.wikipedia.org	Hasret Gültekin
2143	tr.wikipedia.org	3 Temmuz
2144	tr.wikipedia.org	4 Temmuz
2145	tr.wikipedia.org	5 Temmuz
2146	tr.wikipedia.org	6 Temmuz
2147	tr.wikipedia.org	7 Temmuz
2148	tr.wikipedia.org	8 Temmuz
2149	tr.wikipedia.org	9 Temmuz
2150	tr.wikipedia.org	10 Temmuz
2151	tr.wikipedia.org	11 Temmuz
2153	tr.wikipedia.org	13 Temmuz
2154	tr.wikipedia.org	14 Temmuz
2155	tr.wikipedia.org	15 Temmuz
2156	tr.wikipedia.org	16 Temmuz
2157	tr.wikipedia.org	17 Temmuz
2158	tr.wikipedia.org	18 Temmuz
2160	tr.wikipedia.org	20 Temmuz
2161	tr.wikipedia.org	21 Temmuz
2163	tr.wikipedia.org	23 Temmuz
2164	tr.wikipedia.org	24 Temmuz
2165	tr.wikipedia.org	25 Temmuz
2167	tr.wikipedia.org	27 Temmuz
2169	tr.wikipedia.org	29 Temmuz
2173	tr.wikipedia.org	Muğla
2176	tr.wikipedia.org	Mariya Şarapova
2178	tr.wikipedia.org	Üçgen
2185	tr.wikipedia.org	Anton Çehov
2188	tr.wikipedia.org	22 Ağustos
2189	tr.wikipedia.org	24 Ocak
2192	tr.wikipedia.org	Sokrates
2218	tr.wikipedia.org	2 Ocak
2219	tr.wikipedia.org	3 Ocak
2220	tr.wikipedia.org	4 Ocak
2222	tr.wikipedia.org	6 Ocak
2223	tr.wikipedia.org	7 Ocak
2224	tr.wikipedia.org	8 Ocak
2225	tr.wikipedia.org	9 Ocak
2226	tr.wikipedia.org	10 Ocak
2227	tr.wikipedia.org	11 Ocak
2228	tr.wikipedia.org	12 Ocak
2229	tr.wikipedia.org	13 Ocak
2230	tr.wikipedia.org	14 Ocak
2231	tr.wikipedia.org	15 Ocak
2232	tr.wikipedia.org	16 Ocak
2233	tr.wikipedia.org	17 Ocak
2234	tr.wikipedia.org	18 Ocak
2235	tr.wikipedia.org	19 Ocak
2236	tr.wikipedia.org	20 Ocak
2239	tr.wikipedia.org	21 Ocak
2240	tr.wikipedia.org	22 Ocak
2241	tr.wikipedia.org	23 Ocak
2243	tr.wikipedia.org	26 Ocak
2244	tr.wikipedia.org	27 Ocak
2245	tr.wikipedia.org	28 Ocak
2247	tr.wikipedia.org	30 Ocak
2248	tr.wikipedia.org	31 Ocak
2262	tr.wikipedia.org	1895
2268	tr.wikipedia.org	1901
2274	tr.wikipedia.org	1907
2281	tr.wikipedia.org	1986
2283	tr.wikipedia.org	1988
2284	tr.wikipedia.org	1989
2285	tr.wikipedia.org	1990
2288	tr.wikipedia.org	1993
2290	tr.wikipedia.org	1995
2291	tr.wikipedia.org	1996
2293	tr.wikipedia.org	1998
2294	tr.wikipedia.org	1999
2295	tr.wikipedia.org	2000
2297	tr.wikipedia.org	2003
2299	tr.wikipedia.org	2005
2301	tr.wikipedia.org	20. yüzyıl
2302	tr.wikipedia.org	Adıyaman (il)
2303	tr.wikipedia.org	Afyonkarahisar (il)
2308	tr.wikipedia.org	1982
2310	tr.wikipedia.org	1980
2311	tr.wikipedia.org	1979
2314	tr.wikipedia.org	19. yüzyıl
2317	tr.wikipedia.org	1916
2318	tr.wikipedia.org	1917
2321	tr.wikipedia.org	1919
2325	tr.wikipedia.org	1923
2328	tr.wikipedia.org	1926
2329	tr.wikipedia.org	1927
2331	tr.wikipedia.org	1929
2332	tr.wikipedia.org	1930
2335	tr.wikipedia.org	1933
2336	tr.wikipedia.org	1934
2337	tr.wikipedia.org	1935
2340	tr.wikipedia.org	1938
2341	tr.wikipedia.org	1939
2342	tr.wikipedia.org	1940
2345	tr.wikipedia.org	1943
2346	tr.wikipedia.org	1944
2347	tr.wikipedia.org	1945
2352	tr.wikipedia.org	1950
2356	tr.wikipedia.org	1954
2358	tr.wikipedia.org	1956
2359	tr.wikipedia.org	1957
2360	tr.wikipedia.org	1958
2361	tr.wikipedia.org	1959
2362	tr.wikipedia.org	1960
2363	tr.wikipedia.org	1961
2365	tr.wikipedia.org	1963
2367	tr.wikipedia.org	1965
2368	tr.wikipedia.org	1966
2370	tr.wikipedia.org	1968
2371	tr.wikipedia.org	1969
2373	tr.wikipedia.org	1971
2374	tr.wikipedia.org	1972
2375	tr.wikipedia.org	1973
2377	tr.wikipedia.org	1975
2378	tr.wikipedia.org	1976
2379	tr.wikipedia.org	1977
2382	tr.wikipedia.org	18. yüzyıl
2401	tr.wikipedia.org	Google
2406	tr.wikipedia.org	1801
2407	tr.wikipedia.org	1802
2408	tr.wikipedia.org	1803
2441	tr.wikipedia.org	1836
2449	tr.wikipedia.org	1844
2450	tr.wikipedia.org	1845
2464	tr.wikipedia.org	1859
2482	tr.wikipedia.org	1877
2486	tr.wikipedia.org	1800
2567	tr.wikipedia.org	1721
2581	tr.wikipedia.org	1707
2589	tr.wikipedia.org	Hayao Miyazaki
2691	tr.wikipedia.org	16. yüzyıl
2700	tr.wikipedia.org	1 Şubat
2701	tr.wikipedia.org	2 Şubat
2702	tr.wikipedia.org	3 Şubat
2703	tr.wikipedia.org	4 Şubat
2704	tr.wikipedia.org	5 Şubat
2705	tr.wikipedia.org	6 Şubat
2706	tr.wikipedia.org	7 Şubat
2707	tr.wikipedia.org	8 Şubat
2708	tr.wikipedia.org	9 Şubat
2709	tr.wikipedia.org	10 Şubat
2710	tr.wikipedia.org	11 Şubat
2711	tr.wikipedia.org	12 Şubat
2712	tr.wikipedia.org	13 Şubat
2714	tr.wikipedia.org	15 Şubat
2715	tr.wikipedia.org	16 Şubat
2717	tr.wikipedia.org	18 Şubat
2718	tr.wikipedia.org	19 Şubat
2720	tr.wikipedia.org	21 Şubat
2721	tr.wikipedia.org	22 Şubat
2722	tr.wikipedia.org	23 Şubat
2723	tr.wikipedia.org	24 Şubat
2724	tr.wikipedia.org	25 Şubat
2726	tr.wikipedia.org	28 Şubat
2727	tr.wikipedia.org	29 Şubat
3052	tr.wikipedia.org	23 Mart
3053	tr.wikipedia.org	24 Mart
3054	tr.wikipedia.org	25 Mart
3055	tr.wikipedia.org	26 Mart
3056	tr.wikipedia.org	27 Mart
3057	tr.wikipedia.org	29 Mart
3060	tr.wikipedia.org	22 Mart
3061	tr.wikipedia.org	21 Mart
3062	tr.wikipedia.org	20 Mart
3063	tr.wikipedia.org	19 Mart
3065	tr.wikipedia.org	16 Mart
3066	tr.wikipedia.org	15 Mart
3067	tr.wikipedia.org	14 Mart
3068	tr.wikipedia.org	13 Mart
3070	tr.wikipedia.org	11 Mart
3072	tr.wikipedia.org	9 Mart
3073	tr.wikipedia.org	8 Mart
3075	tr.wikipedia.org	6 Mart
3076	tr.wikipedia.org	5 Mart
3077	tr.wikipedia.org	4 Mart
3078	tr.wikipedia.org	3 Mart
3079	tr.wikipedia.org	2 Mart
3080	tr.wikipedia.org	1 Mart
3086	tr.wikipedia.org	1 Nisan
3088	tr.wikipedia.org	3 Nisan
3091	tr.wikipedia.org	6 Nisan
3092	tr.wikipedia.org	7 Nisan
3093	tr.wikipedia.org	9 Nisan
3094	tr.wikipedia.org	10 Nisan
3095	tr.wikipedia.org	11 Nisan
3096	tr.wikipedia.org	12 Nisan
3098	tr.wikipedia.org	15 Nisan
3100	tr.wikipedia.org	18 Nisan
3103	tr.wikipedia.org	24 Nisan
3104	tr.wikipedia.org	25 Nisan
3105	tr.wikipedia.org	26 Nisan
3106	tr.wikipedia.org	27 Nisan
3107	tr.wikipedia.org	28 Nisan
3109	tr.wikipedia.org	30 Nisan
3122	tr.wikipedia.org	1 Mayıs
3124	tr.wikipedia.org	3 Mayıs
3125	tr.wikipedia.org	4 Mayıs
3126	tr.wikipedia.org	5 Mayıs
3127	tr.wikipedia.org	6 Mayıs
3128	tr.wikipedia.org	8 Mayıs
3129	tr.wikipedia.org	9 Mayıs
3130	tr.wikipedia.org	10 Mayıs
3131	tr.wikipedia.org	11 Mayıs
3133	tr.wikipedia.org	13 Mayıs
3134	tr.wikipedia.org	14 Mayıs
3136	tr.wikipedia.org	16 Mayıs
3137	tr.wikipedia.org	17 Mayıs
3138	tr.wikipedia.org	18 Mayıs
3139	tr.wikipedia.org	19 Mayıs
3140	tr.wikipedia.org	20 Mayıs
3142	tr.wikipedia.org	22 Mayıs
3143	tr.wikipedia.org	23 Mayıs
3148	tr.wikipedia.org	28 Mayıs
3149	tr.wikipedia.org	30 Mayıs
3152	tr.wikipedia.org	1 Haziran
3153	tr.wikipedia.org	2 Haziran
3154	tr.wikipedia.org	4 Haziran
3157	tr.wikipedia.org	8 Haziran
3160	tr.wikipedia.org	11 Haziran
3162	tr.wikipedia.org	13 Haziran
3185	tr.wikipedia.org	Sigara
3188	tr.wikipedia.org	Zekâ geriliği
3203	tr.wikipedia.org	Menenjit
3204	tr.wikipedia.org	Afganistan
3220	tr.wikipedia.org	Oruç
3221	tr.wikipedia.org	1 Ağustos
3223	tr.wikipedia.org	3 Ağustos
3224	tr.wikipedia.org	5 Ağustos
3225	tr.wikipedia.org	6 Ağustos
3226	tr.wikipedia.org	7 Ağustos
3231	tr.wikipedia.org	8 Ağustos
3232	tr.wikipedia.org	9 Ağustos
3234	tr.wikipedia.org	11 Ağustos
3235	tr.wikipedia.org	12 Ağustos
3236	tr.wikipedia.org	13 Ağustos
3237	tr.wikipedia.org	14 Ağustos
3238	tr.wikipedia.org	15 Ağustos
3239	tr.wikipedia.org	16 Ağustos
3243	tr.wikipedia.org	18 Ağustos
3245	tr.wikipedia.org	Protein
3248	tr.wikipedia.org	20 Ağustos
3249	tr.wikipedia.org	21 Ağustos
3250	tr.wikipedia.org	23 Ağustos
3252	tr.wikipedia.org	25 Ağustos
3263	tr.wikipedia.org	Denizli
3268	tr.wikipedia.org	30 Ağustos
3269	tr.wikipedia.org	31 Ağustos
3271	tr.wikipedia.org	1 Eylül
3272	tr.wikipedia.org	2 Eylül
3273	tr.wikipedia.org	3 Eylül
3274	tr.wikipedia.org	4 Eylül
3276	tr.wikipedia.org	6 Eylül
3277	tr.wikipedia.org	7 Eylül
3278	tr.wikipedia.org	8 Eylül
3280	tr.wikipedia.org	10 Eylül
3282	tr.wikipedia.org	12 Eylül
3283	tr.wikipedia.org	13 Eylül
3286	tr.wikipedia.org	16 Eylül
3287	tr.wikipedia.org	17 Eylül
3288	tr.wikipedia.org	18 Eylül
3289	tr.wikipedia.org	19 Eylül
3294	tr.wikipedia.org	23 Eylül
3296	tr.wikipedia.org	26 Eylül
3298	tr.wikipedia.org	28 Eylül
3300	tr.wikipedia.org	30 Eylül
3305	tr.wikipedia.org	1 Ekim
3306	tr.wikipedia.org	2 Ekim
3307	tr.wikipedia.org	3 Ekim
3308	tr.wikipedia.org	4 Ekim
3309	tr.wikipedia.org	5 Ekim
3311	tr.wikipedia.org	7 Ekim
3312	tr.wikipedia.org	8 Ekim
3313	tr.wikipedia.org	9 Ekim
3314	tr.wikipedia.org	10 Ekim
3315	tr.wikipedia.org	11 Ekim
3316	tr.wikipedia.org	12 Ekim
3317	tr.wikipedia.org	14 Ekim
3318	tr.wikipedia.org	15 Ekim
3319	tr.wikipedia.org	16 Ekim
3321	tr.wikipedia.org	18 Ekim
3322	tr.wikipedia.org	19 Ekim
3323	tr.wikipedia.org	20 Ekim
3324	tr.wikipedia.org	21 Ekim
3326	tr.wikipedia.org	23 Ekim
3328	tr.wikipedia.org	25 Ekim
3329	tr.wikipedia.org	26 Ekim
3330	tr.wikipedia.org	27 Ekim
3331	tr.wikipedia.org	28 Ekim
3332	tr.wikipedia.org	30 Ekim
3333	tr.wikipedia.org	31 Ekim
3335	tr.wikipedia.org	1 Kasım
3336	tr.wikipedia.org	2 Kasım
3337	tr.wikipedia.org	3 Kasım
3338	tr.wikipedia.org	4 Kasım
3341	tr.wikipedia.org	Kapital
3342	tr.wikipedia.org	5 Kasım
3343	tr.wikipedia.org	6 Kasım
3344	tr.wikipedia.org	7 Kasım
3346	tr.wikipedia.org	9 Kasım
3348	tr.wikipedia.org	11 Kasım
3349	tr.wikipedia.org	12 Kasım
3350	tr.wikipedia.org	13 Kasım
3351	tr.wikipedia.org	14 Kasım
3352	tr.wikipedia.org	15 Kasım
3353	tr.wikipedia.org	16 Kasım
3354	tr.wikipedia.org	17 Kasım
3355	tr.wikipedia.org	18 Kasım
3356	tr.wikipedia.org	19 Kasım
3357	tr.wikipedia.org	21 Kasım
3358	tr.wikipedia.org	22 Kasım
3359	tr.wikipedia.org	23 Kasım
3360	tr.wikipedia.org	24 Kasım
3361	tr.wikipedia.org	25 Kasım
3362	tr.wikipedia.org	26 Kasım
3363	tr.wikipedia.org	27 Kasım
3364	tr.wikipedia.org	28 Kasım
3366	tr.wikipedia.org	29 Kasım
3367	tr.wikipedia.org	30 Kasım
3368	tr.wikipedia.org	1 Aralık
3370	tr.wikipedia.org	3 Aralık
3371	tr.wikipedia.org	4 Aralık
3372	tr.wikipedia.org	5 Aralık
3373	tr.wikipedia.org	6 Aralık
3374	tr.wikipedia.org	7 Aralık
3375	tr.wikipedia.org	8 Aralık
3376	tr.wikipedia.org	9 Aralık
3380	tr.wikipedia.org	14 Aralık
3381	tr.wikipedia.org	15 Aralık
3382	tr.wikipedia.org	16 Aralık
3384	tr.wikipedia.org	18 Aralık
3385	tr.wikipedia.org	19 Aralık
3386	tr.wikipedia.org	20 Aralık
3388	tr.wikipedia.org	22 Aralık
3391	tr.wikipedia.org	26 Aralık
3395	tr.wikipedia.org	30 Aralık
3396	tr.wikipedia.org	31 Aralık
3404	tr.wikipedia.org	Maxwell denklemleri
3409	tr.wikipedia.org	Necip Fazıl Kısakürek
3419	tr.wikipedia.org	Bakara Suresi
3447	tr.wikipedia.org	Siirt (il)
3465	tr.wikipedia.org	Kırşehir (il)
3473	tr.wikipedia.org	Balçova
3490	tr.wikipedia.org	Enver Paşa
3501	tr.wikipedia.org	Adnan Menderes
3503	tr.wikipedia.org	Erdal İnönü
3534	tr.wikipedia.org	ISO
3535	tr.wikipedia.org	John McCarthy (bilgisayar bilimci)
3543	tr.wikipedia.org	Bahâîlik
3545	tr.wikipedia.org	Türkmenistan
3547	tr.wikipedia.org	Karşıyaka
3567	tr.wikipedia.org	PKK
3607	tr.wikipedia.org	C vitamini
3618	tr.wikipedia.org	Yanardağ
3626	tr.wikipedia.org	Siyaset bilimi
3629	tr.wikipedia.org	Richard Stallman
3631	tr.wikipedia.org	Avrupa Öğrencileri Forumu
3637	tr.wikipedia.org	Erzurum
3642	tr.wikipedia.org	Isparta
3645	tr.wikipedia.org	Şebnem Ferah
3657	tr.wikipedia.org	Cumhuriyet (gazete)
3664	tr.wikipedia.org	Foça
3684	tr.wikipedia.org	Azerbaycan
3687	tr.wikipedia.org	Yıldız Savaşları: Bölüm III - Sith'in İntikamı
3688	tr.wikipedia.org	Tarkan
3690	tr.wikipedia.org	Azerice
3695	tr.wikipedia.org	Şehir
3700	tr.wikipedia.org	Danimarka
3711	tr.wikipedia.org	2006
3714	tr.wikipedia.org	Ogg
3744	tr.wikipedia.org	Bilkent Üniversitesi
3755	tr.wikipedia.org	Banka
3756	tr.wikipedia.org	Enflasyon
3757	tr.wikipedia.org	Taoizm
3760	tr.wikipedia.org	Romanya
3762	tr.wikipedia.org	Feza Gürsey
3765	tr.wikipedia.org	II. Dünya Savaşı
3770	tr.wikipedia.org	Neil Armstrong
3775	tr.wikipedia.org	Bozon
3776	tr.wikipedia.org	Enerji
3793	tr.wikipedia.org	Dik üçgen
3804	tr.wikipedia.org	Richard Feynman
3818	tr.wikipedia.org	Atletizm
3820	tr.wikipedia.org	DNA
3829	tr.wikipedia.org	Saint Benoît Fransız Lisesi
3839	tr.wikipedia.org	Heykel
3869	tr.wikipedia.org	Victor Hugo
3872	tr.wikipedia.org	Boğaziçi Üniversitesi
3873	tr.wikipedia.org	Latin alfabesi
3876	tr.wikipedia.org	Java
3878	tr.wikipedia.org	Rize (il)
3885	tr.wikipedia.org	Hulki Cevizoğlu
3887	tr.wikipedia.org	Hürrem Sultan
3888	tr.wikipedia.org	Sigmund Freud
3896	tr.wikipedia.org	Kanada
3909	tr.wikipedia.org	Caynizm
3920	tr.wikipedia.org	Mardin
3932	tr.wikipedia.org	Geometri
3936	tr.wikipedia.org	Piyano
3979	tr.wikipedia.org	NATO
3980	tr.wikipedia.org	UTF-8
3983	tr.wikipedia.org	Microsoft
3985	tr.wikipedia.org	NASA
3986	tr.wikipedia.org	IPv4
4038	tr.wikipedia.org	DNA replikasyonu
4039	tr.wikipedia.org	Kanada coğrafyası
4047	tr.wikipedia.org	Guanin
4061	tr.wikipedia.org	Afyonkarahisar
4065	tr.wikipedia.org	Amasya (il)
4070	tr.wikipedia.org	Artvin (il)
4072	tr.wikipedia.org	Artvin
4075	tr.wikipedia.org	Balıkesir
4076	tr.wikipedia.org	Karesi, Balıkesir
4077	tr.wikipedia.org	Bilecik (il)
4078	tr.wikipedia.org	Bilecik
4079	tr.wikipedia.org	Bingöl (il)
4080	tr.wikipedia.org	Bingöl
4083	tr.wikipedia.org	Bolu
4084	tr.wikipedia.org	Burdur (il)
4090	tr.wikipedia.org	Çankırı (il)
4091	tr.wikipedia.org	Çankırı
4092	tr.wikipedia.org	Çorum (il)
4096	tr.wikipedia.org	Diyarbakır
4103	tr.wikipedia.org	Elazığ (il)
4104	tr.wikipedia.org	Elazığ
4110	tr.wikipedia.org	Eskişehir
4113	tr.wikipedia.org	Ardahan
4118	tr.wikipedia.org	Sivas
4119	tr.wikipedia.org	Sinop
4123	tr.wikipedia.org	Kırşehir
4124	tr.wikipedia.org	Kayseri
4125	tr.wikipedia.org	Rize
4126	tr.wikipedia.org	Kars
4128	tr.wikipedia.org	İzmir
4137	tr.wikipedia.org	Giresun (il)
4138	tr.wikipedia.org	Giresun
4141	tr.wikipedia.org	Gümüşhane (il)
4144	tr.wikipedia.org	Hatay
4156	tr.wikipedia.org	Kastamonu (il)
4159	tr.wikipedia.org	Kırklareli (il)
4160	tr.wikipedia.org	Kırklareli
4164	tr.wikipedia.org	Kocaeli
4170	tr.wikipedia.org	Kütahya (il)
4171	tr.wikipedia.org	Kütahya
4173	tr.wikipedia.org	Malatya
4176	tr.wikipedia.org	Manisa
4179	tr.wikipedia.org	Kahramanmaraş
4183	tr.wikipedia.org	Muş (il)
4184	tr.wikipedia.org	Muş
4186	tr.wikipedia.org	Nevşehir (il)
4190	tr.wikipedia.org	Niğde (il)
4191	tr.wikipedia.org	Niğde
4193	tr.wikipedia.org	Ordu (il)
4195	tr.wikipedia.org	Reel sayılar
4196	tr.wikipedia.org	Adolf Hitler
4204	tr.wikipedia.org	Sakarya
4215	tr.wikipedia.org	Şanlıurfa
4218	tr.wikipedia.org	Uşak (il)
4219	tr.wikipedia.org	Uşak
4226	tr.wikipedia.org	Zonguldak
4231	tr.wikipedia.org	Aksaray (il)
4232	tr.wikipedia.org	Aksaray
